title,categoryName,description,price,totalScore,reviewsCount,imagesCount,address,neighborhood,street,city,postalCode,state,website,phone,location.lat,location.lng,openingHours,reviewsDistribution.oneStar,reviewsDistribution.twoStar,reviewsDistribution.threeStar,reviewsDistribution.fourStar,reviewsDistribution.fiveStar,Features,price_numeric,High Rated,Reservations,Parking,Delivery,Outdoor Seating,Takeout,Vegetarian Options,Wheelchair Accessible,Family Friendly,Pet Friendly
1522,Indian Bar Pub      ,,₹600–800,4.0,45.0,,"2 Lepakshi Building 1522 17'th Cross Road, Bengaluru 560010 India",2 Lepakshi Building 1522 17'th Cross Road,2 Lepakshi Building 1522 17'th Cross Road,Bengaluru,560010,Karnataka,https://www.zomato.com/bangalore/1522-the-pub-koramangala-4th-block?context=eyJzZSI6eyJlIjpbIjE4MjA4Mzg3IiwiMTg4NjM0MjAiLCIxODg4Mjg0MSIsIjE4NzAzNTg3Iiw2MTY4MSwiMTgxNDg5MzEiLCIxODYwNDI0OSIsIjE4Njg0MTM5IiwiNTA3MTYiLCIxODI0NjQ5NyIsIjE4MzY5ODU0IiwiNTg1MzYiLCI1Mzc4MiIsIjUwNDgxIiwiMTg2MDI4ODAiLCIxODUwMjE0MyIsIjE4NjA3NzE3Il0sInQiOiJEZWxpdmVyeSBSZXN0YXVyYW50cyBpbiBLb3JhbWFuZ2FsYSA0dGggQmxvY2sifX0=,+91 80 2357 4799,13.007924,77.557274,,4.0,11.0,14.0,42.0,14.0,Reservations Seating Serves Alcohol Table Service                         ,700.0,1.0,1,0,0,1,0,0,0,0,0
1522 - The Pub,Indian Bar Pub      ,,₹600–800,4.0,56.0,,"3 Feet Road 4-C Block, Bengaluru 560034 India",3 Feet Road 4-C Block,3 Feet Road 4-C Block,Bengaluru,560034,Karnataka,https://www.zomato.com/bangalore/1522-the-pub-koramangala-4th-block?context=eyJzZSI6eyJlIjpbIjE4MjA4Mzg3IiwiMTg4NjM0MjAiLCIxODg4Mjg0MSIsIjE4NzAzNTg3Iiw2MTY4MSwiMTgxNDg5MzEiLCIxODYwNDI0OSIsIjE4Njg0MTM5IiwiNTA3MTYiLCIxODI0NjQ5NyIsIjE4MzY5ODU0IiwiNTg1MzYiLCI1Mzc4MiIsIjUwNDgxIiwiMTg2MDI4ODAiLCIxODUwMjE0MyIsIjE4NjA3NzE3Il0sInQiOiJEZWxpdmVyeSBSZXN0YXVyYW50cyBpbiBLb3JhbWFuZ2FsYSA0dGggQmxvY2sifX0=,+91 80 4965 2895,13.032792,77.569305,,4.0,11.0,14.0,42.0,14.0,Reservations Seating Television Serves Alcohol Full Bar Table Service                       ,700.0,1.0,1,0,0,1,0,0,0,0,0
153 Biere Street,        ,,,4.0,33.0,,"153/1 Hagadur Main Road Next to Prestige Ozone, Whitefield, Brooke Bond First Cross, Bengaluru 560066 India",Brooke Bond First Cross,153/1 Hagadur Main Road Next to Prestige Ozone,Bengaluru,560066,Karnataka,,,12.96471,77.7553,,,,,,,Reservations Outdoor Seating Seating Wheelchair Accessible Serves Alcohol Table Service                       ,300.0,1.0,1,0,0,1,0,0,1,0,0
154 Breakfast Club,Cafe        ,,₹400–600,4.0,25.0,,"154, Koramangla 8th Main Road Koramangla, Bengaluru 560034 India",Koramangla 8th Main Road Koramangla,154,Bengaluru,560034,Karnataka,https://www.zomato.com/bangalore/154-breakfast-club-koramangala-3rd-block?context=eyJzZSI6eyJlIjpbIjE4NjIyMjY4IiwiMTg4ODI3MTgiLCIxODg4NjEzOSIsIjU2MDIzIiw1OTMwNCwiMTg3MTIzOTQiLCI1NjYwMyIsIjYwODUyIiwiMTg1ODI4NTkiLCIxODIzNzkxOSIsIjE4MjYzNDI5IiwiMTg2MDE2NjYiLCIxODI0NjQ5OSIsIjE4NDY4ODM5IiwiMTg4Nzc1MzQiXSwidCI6IkNhZlx1MDBlOXMgYW5kIERlbGlzIGluIEJUTSJ9fQ==,+91 80 2553 3133,12.933332,77.62701,,6.0,9.0,22.0,64.0,6.0,Reservations Seating Table Service                          ,500.0,1.0,1,0,0,1,0,0,0,0,0
1947,Indian Asian       ,,₹400–600,4.0,67.0,,"5th Floor 4th Block 11'th Main Road Opposite to Vijaya Pre University College, Bengaluru 560011 India",5th Floor 4th Block 11'th Main Road Opposite to Vijaya Pre University College,5th Floor 4th Block 11'th Main Road Opposite to Vijaya Pre University College,Bengaluru,560011,Karnataka,https://www.zomato.com/bangalore/1947-banashankari?context=eyJzZSI6eyJlIjpbIjE4ODY2NDc4IiwiMTg3NDMwMjkiLCIxODcyNjE3NCIsIjE4NzI3OTQxIiw1MDAwMSwiNTY0NTYiLCI1MTczMyIsIjE4NzQ1ODg1IiwiNTk1MjEiLCIxODU4NjIzOCIsIjE4ODIxNzY1IiwiMTg4Nzg5ODIiLCI2MDU4NSIsIjE4OTAyNjM4IiwiMTgzMDYyMDgiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbmFzaGFua2FyaSJ9fQ==,+91 90191 37294,12.927526,77.586266,,0.0,0.0,0.0,5.0,1.0,Takeout Reservations Seating Wheelchair Accessible Table Service                        ,500.0,1.0,1,0,0,1,1,0,1,0,0
1947,Chinese Indian Asian      ,,₹400–600,4.0,35.0,,"4/4-1, 1st Main Industrial Town, West Of Chord Service Road, Next To Premananda Convention Hall, Rajajinagar, Bengaluru 560086 India",Rajajinagar,4/4-1,Bengaluru,560086,Karnataka,https://www.zomato.com/bangalore/1947-banashankari?context=eyJzZSI6eyJlIjpbIjE4ODY2NDc4IiwiMTg3NDMwMjkiLCIxODcyNjE3NCIsIjE4NzI3OTQxIiw1MDAwMSwiNTY0NTYiLCI1MTczMyIsIjE4NzQ1ODg1IiwiNTk1MjEiLCIxODU4NjIzOCIsIjE4ODIxNzY1IiwiMTg4Nzg5ODIiLCI2MDU4NSIsIjE4OTAyNjM4IiwiMTgzMDYyMDgiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbmFzaGFua2FyaSJ9fQ==,+91 80 4132 1947,12.983344,77.5487,,0.0,0.0,0.0,5.0,1.0,Takeout Reservations Seating Table Service                         ,500.0,1.0,1,0,0,1,1,0,0,0,0
1947,Indian Asian       ,,₹400–600,3.5,137.0,,"47, 3rd Main, 15th Cross, Margosa Road, Malleshwaram Above Girias Showroom, Bengaluru 560003 India",Malleshwaram Above Girias Showroom,47,Bengaluru,560003,Karnataka,https://www.zomato.com/bangalore/1947-banashankari?context=eyJzZSI6eyJlIjpbIjE4ODY2NDc4IiwiMTg3NDMwMjkiLCIxODcyNjE3NCIsIjE4NzI3OTQxIiw1MDAwMSwiNTY0NTYiLCI1MTczMyIsIjE4NzQ1ODg1IiwiNTk1MjEiLCIxODU4NjIzOCIsIjE4ODIxNzY1IiwiMTg4Nzg5ODIiLCI2MDU4NSIsIjE4OTAyNjM4IiwiMTgzMDYyMDgiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbmFzaGFua2FyaSJ9fQ==,+91 80 4131 4321,13.00573,77.569084,,0.0,0.0,0.0,5.0,1.0,Delivery Takeout Reservations Seating Table Service                        ,500.0,0.0,1,0,1,1,1,0,0,0,0
1947 Restaurant,Indian Asian       ,,₹400–600,4.0,55.0,,"100 Ram Towers 100 Feet Ring Road Near Deve Gowda Petrol Bunk, Bengaluru 560070 India",100 Ram Towers 100 Feet Ring Road Near Deve Gowda Petrol Bunk,100 Ram Towers 100 Feet Ring Road Near Deve Gowda Petrol Bunk,Bengaluru,560070,Karnataka,https://www.zomato.com/bangalore/1947-banashankari?context=eyJzZSI6eyJlIjpbIjE4ODY2NDc4IiwiMTg3NDMwMjkiLCIxODcyNjE3NCIsIjE4NzI3OTQxIiw1MDAwMSwiNTY0NTYiLCI1MTczMyIsIjE4NzQ1ODg1IiwiNTk1MjEiLCIxODU4NjIzOCIsIjE4ODIxNzY1IiwiMTg4Nzg5ODIiLCI2MDU4NSIsIjE4OTAyNjM4IiwiMTgzMDYyMDgiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbmFzaGFua2FyaSJ9fQ==,+91 97399 89446,12.922704,77.556435,,0.0,0.0,0.0,5.0,1.0,Delivery Takeout Reservations Seating Table Service                        ,500.0,1.0,1,0,1,1,1,0,0,0,0
1947 Restaurant Jayanagar,North Indian restaurant,,,4.2,1941.0,960.0,"1st Floor, Sannidhi, No.62, 11th Main Rd, 4th Block, Jayanagar, Bengaluru, Karnataka 560011, India","4th T Block East, 4th Block, Jayanagar","1st Floor, Sannidhi, No.62, 11th Main Rd",Bengaluru,560011.0,Karnataka,https://instagram.com/1947restaurant?igshid=MmIzYWVlNDQ5Yg==,+91 80 4147 1947,12.9275447,77.5861455,"[{'day': 'Monday', 'hours': '12 to 10:30\u202fPM'}, {'day': 'Tuesday', 'hours': '12 to 10:30\u202fPM'}, {'day': 'Wednesday', 'hours': '12 to 10:30\u202fPM'}, {'day': 'Thursday', 'hours': '12 to 10:30\u202fPM'}, {'day': 'Friday', 'hours': '12 to 10:30\u202fPM'}, {'day': 'Saturday', 'hours': '12 to 10:30\u202fPM'}, {'day': 'Sunday', 'hours': '12 to 10:30\u202fPM'}]",176.0,52.0,152.0,431.0,1130.0,Wheelchair accessible restroom | Wheelchair accessible seating,300.0,1.0,0,0,0,1,0,0,1,0,0
1947 Restaurant Koramangala,Vegetarian restaurant,,,4.8,1230.0,217.0,"4th Floor, Site, 16, 17th E Main Rd, next to Reservoire, KHB Colony, 5th Block, Koramangala, Bengaluru, Karnataka 560095, India","KHB Colony, 5th Block, Koramangala","4th Floor, Site, 16, 17th E Main Rd, next to Reservoire",Bengaluru,560095.0,Karnataka,https://1947restaurants.in/,+91 80 4853 5090,12.9334243,77.6223869,"[{'day': 'Monday', 'hours': '11:30\u202fAM to 11\u202fPM'}, {'day': 'Tuesday', 'hours': '11:30\u202fAM to 11\u202fPM'}, {'day': 'Wednesday', 'hours': '11:30\u202fAM to 11\u202fPM'}, {'day': 'Thursday', 'hours': '11:30\u202fAM to 11\u202fPM'}, {'day': 'Friday', 'hours': '11:30\u202fAM to 11\u202fPM'}, {'day': 'Saturday', 'hours': '11:30\u202fAM to 11:30\u202fPM'}, {'day': 'Sunday', 'hours': '11:30\u202fAM to 11:30\u202fPM'}]",28.0,10.0,21.0,73.0,1098.0,Accepts reservations | Casual | Cozy | Credit cards | Debit cards | Delivery | Dessert | Dine-in | Dinner | Family-friendly | Good for kids | Google Pay | Great dessert | Groups | High chairs | Live music | Lunch | NFC mobile payments | Outdoor seating | Quick bite | Quiet | Restroom | Rooftop seating | Seating | Small plates | Solo dining | Sports | Table service | Takeout | Trendy | Usually plenty of parking | Valet parking | Vegan options | Vegetarian options | Vegetarian options only,300.0,1.0,1,1,1,1,1,1,0,1,0
1966 Vadapav,        ,,₹1–200,4.0,1.0,,"191, 10th Cross, Opposite 10th Cross Bus Stop, Wilson Garden, Bengaluru 560027 India",Wilson Garden,191,Bengaluru,560027,Karnataka,https://www.zomato.com/bangalore/cafe-19-2-marathahalli-bangalore?context=eyJzZSI6eyJlIjpbIjE4NDMxOTY2IiwiMTg1OTcxNTQiLCIxODY4ODI1MCIsIjU3MDYzIiwxODczNjYzMywiMTg3OTQ3MDEiLCIxODM1NDA4NCIsIjE4Mzc5NjU4IiwiMTg4ODc1MTgiLCIxODcxOTY1MCJdLCJ0IjoiQ2FmXHUwMGU5cyBhbmQgRGVsaXMgaW4gQnJvb2tlZmllbGQifX0=,+91 99015 33200,12.94653,77.59604,,1.0,0.0,0.0,0.0,0.0,                            ,100.5,1.0,0,0,0,0,0,0,0,0,0
1Q1,Chinese Japanese Asian Thai Vietnamese Malaysian   ,,"₹1,200–1,400",4.0,33.0,,"1 Queens Road Infantry Road, Express Building, Bengaluru 560052 India",Express Building,1 Queens Road Infantry Road,Bengaluru,560052,Karnataka,https://www.zomato.com/bangalore/1q1-infantry-road?context=eyJzZSI6eyJlIjpbIjE4Njg5NTg2IiwiNTMzOTYiLCI1MTgyMiIsIjU3NDI0IiwxODU5NDI4NCwiNTEwMDgiLCI1MDk1OSIsIjE4NTgyODg4IiwiNTA2MzMiLCI1MDIwOCIsIjU3NzMwIiwiNTkyMjkiLCI1MTAyOSIsIjUxNjM5IiwiMTg5MzU5NjQiXSwidCI6IkRpbmUtT3V0IFJlc3RhdXJhbnRzIGluIEJyaWdhZGUgUm9hZCJ9fQ==,+91 80 4805 0101,12.983717,77.596985,,0.0,4.0,12.0,33.0,24.0,Reservations Seating Table Service                          ,1300.0,1.0,1,0,0,1,0,0,0,0,0
1bhk - Bar House Kitchen,Italian American Indian Bar Asian Pub   ,,,4.5,3.0,,"#56, Raj Villa, 5th Cross, 60 Feet Rd, 6th Block, Bengaluru 560095 India",6th Block,#56,Bengaluru,560095,Karnataka,,+91 95914 22066,12.93631,77.62122,,,,,,,                            ,300.0,1.0,0,0,0,0,0,0,0,0,0
20 Char,Chinese Indian Asian      ,,₹600–800,4.0,27.0,,"134 Airport Road, Bengaluru 560017 India",134 Airport Road,134 Airport Road,Bengaluru,560017,Karnataka,https://www.zomato.com/bangalore/20-char-sterlings-mac-hotel-airport-road-bangalore?context=eyJzZSI6eyJlIjpbIjU0MDk0IiwiMTg2MzEwNzciLCI1MDYxNyIsIjUwNjEyIiw1MjQ5NywiNTY3OTgiLCI1MDY5OSIsIjU3NzMyIl0sInQiOiJSZXN0YXVyYW50cyBpbiBJbmRpcmFuYWdhciBzZXJ2aW5nIEJ1ZmZldCJ9fQ==,+91 80 4249 4820,12.96679,77.64841,,1.0,0.0,0.0,3.0,0.0,Reservations Seating Wheelchair Accessible Table Service                         ,700.0,1.0,1,0,0,1,0,0,1,0,0
20 Feet High,American Bar International Pub     ,,₹400–600,4.0,79.0,,"Amoeba Complex, 22, Ground Floor, Behind Barton Center, Church Street, Bengaluru 560001 India",Church Street,Amoeba Complex,Bengaluru,560001,Karnataka,https://www.zomato.com/bangalore/20-feet-high-church-street?context=eyJzZSI6eyJlIjpbIjE4NTU5NDA1IiwiMTg2Mjc1OTkiLCIxODc3NDA1OSIsIjU0MzczIiw1MjcwMCwiMTg2NzI3MjciLCIxODI0NjQ5NSIsIjU3OTc4IiwiNTI1MDciLCIxODcxODMxOSIsIjU5MjI5IiwiMTg4ODU3NDQiLCI1MDU5MCIsIjUxMzQ0IiwiMTg1NDA3MzUiLCIxODcwNjA1NiIsIjE4NjkyODc2IiwiMTg4NjI4NTgiLCI1MTkwNiIsIjE4NzkyMjY5IiwiNTMzNjciXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJyaWdhZGUgUm9hZCJ9fQ==,+91 80 2558 2122,12.975084,77.60507,,0.0,1.0,7.0,4.0,0.0,Takeout Reservations Seating Serves Alcohol Full Bar Table Service                       ,500.0,1.0,1,0,0,1,1,0,0,0,0
24 Carats,Indian        ,"24 Carats is the Coffee shop at The Hotel Capitol, open for Buufet Lunch and Weekend Buffet Dinner.",₹400–600,3.5,7.0,,"Rajbhavan Road Near Vidhana Soudha, Bengaluru 560001 India",Rajbhavan Road Near Vidhana Soudha,Rajbhavan Road Near Vidhana Soudha,Bengaluru,560001,Karnataka,https://www.zomato.com/bangalore/24-carats-the-capitol-cunningham-road?context=eyJzZSI6eyJlIjpbIjU4MDIxIiwiNTQwNTAiLCI1MjU3OSIsIjE4NDgwMDI4Iiw1MTkzMywiNTgwMTkiXSwidCI6IlJlc3RhdXJhbnRzIGluIEJyaWdhZGUgUm9hZCBzZXJ2aW5nIEJ1ZmZldCJ9fQ==,+91 80 2222 8123,12.98238,77.5932,,5.0,5.0,5.0,3.0,2.0,Reservations                            ,500.0,0.0,1,0,0,0,0,0,0,0,0
24-Jul,Indian Asian       ,,,4.5,32.0,,"The Lalit Ashok Hotel, Lobby Level, Kumara Krupa, Seshadripuram The Lalit Ashok, Bengaluru 560020 India",Seshadripuram The Lalit Ashok,The Lalit Ashok Hotel,Bengaluru,560020,Karnataka,,+91 80 3052 7777,12.9865,77.57968,,,,,,,Reservations Seating Table Service                          ,300.0,1.0,1,0,0,1,0,0,0,0,0
24@43 Coffee Shop,Indian Asian       ,,,4.5,123.0,,"43 Electronic City, Phase 1, Hosur Road The Oterra, Lobby Level, Bengaluru India",Lobby Level,43 Electronic City,Bengaluru,,Karnataka,,+91 96208 00500,12.850158,77.66027,,,,,,,Reservations Seating Parking Available Validated Parking Valet Parking Highchairs Available Wheelchair Accessible Serves Alcohol Full Bar Table Service                   ,300.0,1.0,1,1,0,1,0,0,1,0,0
24X7,Indian        ,,,4.0,1.0,,"Silver Oak Resort, 23rd Km, Bangalore - Doddaballapur Road, Rajankunte, Near Rajankunte Police Station, Yelahanka, Bengaluru India",Yelahanka,Silver Oak Resort,Bengaluru,,Karnataka,,+91 80 2846 8070,13.09562,77.59375,,,,,,,                            ,300.0,1.0,0,0,0,0,0,0,0,0,0
